backtest,horizonte,alpha,rmse
A,14,0.5,2.100109563225595
A,15,0.5,3.514541116370178
A,16,0.5,2.7882109192310467
A,17,0.5,2.843723209307288
A,18,0.5,2.6143671375751043
A,19,0.5,2.6035741516241506
A,20,0.5,2.2003024098572435
A,21,0.5,2.381818674496034
A,22,0.5,2.1634572810999506
A,23,0.5,3.0249612049986077
A,24,0.5,2.0976844666711894
B,1,0.5,2.035135715309419
B,2,0.5,2.035162236591387
B,3,0.5,3.6043163316129117
B,4,0.5,3.0077751443640612
B,5,0.5,3.0469792904144204
B,6,0.5,3.0193355037992378
B,7,0.5,3.1351292239816577
B,8,0.5,2.8452806443758982
B,9,0.5,2.8707550525874965
B,10,0.5,2.7151673506174965
B,11,0.5,2.8871897681951326
B,12,0.5,1.7167577022726248
A,1,0.6,1.8769098080225757
A,2,0.6,2.450086683488502
A,3,0.6,2.1588025289286406
A,4,0.6,2.422140403735953
A,5,0.6,2.699542853061526
A,6,0.6,1.9235784694091858
A,7,0.6,2.1210990456534127
A,8,0.6,2.1996482768438623
A,9,0.6,1.821680998427188
A,10,0.6,1.7435243678234027
A,11,0.6,1.948986313087318
A,12,0.6,2.5984210646466535
A,13,0.6,1.920313007115513
A,14,0.6,1.954748553626596
A,15,0.6,3.265763664853142
A,16,0.6,2.5205200697927546
A,17,0.6,2.5707784024023423
A,18,0.6,2.373371029832584
A,19,0.6,2.3212861015525394
A,20,0.6,1.9071312734436612
A,21,0.6,2.130990872322606
A,22,0.6,2.002380393067711
A,23,0.6,2.9362342156116448
A,24,0.6,1.9941591381707504
B,1,0.6,1.8966708393078564
